pair_id,verdict,notes,governorate,pair_type,source_a,name_a,category_a,source_b,name_b,category_b,distance_m,name_sim,band,lat_a,lon_a,lat_b,lon_b
1,,,Cairo,cross_source,overture,Slimnastics Ballet Academy,dance_school,fsq,Slimnastics Studio,Sports and Recreation > Gym and Studio > Dance Studio,11.5,0.741,0.72-0.80,30.018445544749,31.423754611436,30.018542979461305,31.423795223236084
2,,,Alexandria,intra_source,overture,Mr Baker,bakery,overture,Pro Broker ,real_estate_service,143.5,0.8,0.80-0.90,31.21431085,29.93947731,31.213049761889,29.939785
3,,,Qalyubiya,intra_source,overture,ونش رفع اثاث فى عزبة النخل 01032228009,movers,overture,ونش رفع الاثاث بعزبة النخل 01090216656 عربيات ربع نقل,freight_and_cargo_service,0.0,0.936,0.90-0.99,30.159970589718,31.319274902344,30.159970589718,31.319274902344
4,,,Qalyubiya,intra_source,overture,فرسان الشام - Forsan Al Sham,restaurant,overture,مطعم فرسان الشام بنها,syrian_restaurant,47.6,1.0,0.99-1.01,30.469852563791957,31.184130280246162,30.46966771,31.18457485
5,,,Alexandria,cross_source,overture,Mohamed Abdelsalam Jewellery,jewelry_store,fsq,Mohamed Abou Gendeia (cars elec),Business and Professional Services > Automotive Service > Automotive Repair Shop,83.4,0.75,0.72-0.80,31.23255249,29.95563211,31.23196029663086,29.955102920532227
6,,,Cairo,intra_source,overture,Allora Accessories,fashion_accessories_store,overture,Lily Accessories,fashion_accessories_store,67.2,0.889,0.80-0.90,30.0446789,31.2347384,30.04427,31.23525
7,,,Giza,intra_source,fsq,ACU Pharmacy - Lab 12,Community and Government > Education > College and University > College Lab,fsq,ACU Pharmacy - Lab 16,Community and Government > Education > College and University > College Lab,31.4,0.947,0.90-0.99,29.935177,30.882452,29.935152,30.882128
8,,,Qalyubiya,intra_source,fsq,MIU Main Building,Community and Government > Education > College and University > College Academic Building,fsq,Room 227~ Main Building,Community and Government > Education > College and University > College Classroom,54.6,1.0,0.99-1.01,30.168614869959328,31.492036599527108,30.168302536010742,31.49247169494629
9,,,Alexandria,intra_source,fsq,Auditorium 1 Convention Center,Community and Government > Education > College and University > College Auditorium,fsq,Library Convention Centre,Community and Government > Education > College and University > College Administrative Building,42.7,0.733,0.72-0.80,31.201886,29.903789,31.202041614566124,29.904193418827596
10,,,Cairo,cross_source,overture,Originals. Hub,shoe_store,fsq,ECCO Outsourcing (Torgoman Site),Business and Professional Services > Office,118.9,0.8,0.80-0.90,30.055973121946,31.234081,30.055099054878866,31.234788547444865
11,,,Giza,cross_source,overture,الإتحاد الإقليمى للجمعيات والمؤسسات  الأهلية بالجيزة,central_government_office,fsq,الاتحاد الإقليمي للجمعيات والمؤسسات الأهلية,Community and Government > Government Building,0.0,0.963,0.90-0.99,30.01538,31.214553,30.01538,31.214553
12,,,Giza,cross_source,overture,Housing & Development Bank,banks,fsq,Housing & Development Bank,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0.99-1.01,30.041545757538515,31.0120937350519,30.041545757538515,31.0120937350519
13,,,Alexandria,intra_source,overture,Sooka's Car Care,car_wash,overture,Sooka's PS and Cafe,coffee_shop,51.3,0.743,0.72-0.80,31.12545997,29.78158622,31.12502801,29.78140092
14,,,Alexandria,cross_source,overture,مؤسسة مصر الخير - فرع الإبراهيمية,community_services_non_profits,fsq,اشارة الإبراهيمية,Travel and Transportation > Road,74.4,0.889,0.80-0.90,31.20842584,29.92982865,31.20816397731263,29.930536652089785
15,,,Giza,intra_source,overture,EverGlow Dental Clinic,dentist,overture,Flow Dental Clinic,dentist,117.7,0.909,0.90-0.99,30.067988,30.93405412,30.06693235,30.93398195
16,,,Cairo,intra_source,overture,ورشه الريس للرخام والجرانيت,contractor,overture,للرخام والجرانيت Golden Stones,masonry_concrete,46.0,1.0,0.99-1.01,29.99272898,31.25528481,29.992385867315,31.25502
17,,,Qalyubiya,intra_source,overture,شركة نقل عفش في شبرا الخيمة 01030119247,transportation,overture,بهتيم شبرا الخيمة,public_service_and_government,25.2,0.786,0.72-0.80,30.128823414271,31.242245,30.1286,31.2422
18,,,Alexandria,cross_source,overture,المندره - الاسكندرية,spas,fsq,Qaser Al-Mandara Cafe,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",73.2,0.833,0.80-0.90,31.277925158778253,30.00810397132573,31.278579711914062,30.008174896240234
19,,,Giza,cross_source,overture,كشرى زيزو,restaurant,fsq,Koshary Zizo | كشري زيزو,Dining and Drinking > Restaurant > Middle Eastern Restaurant > Egyptian Restaurant,113.7,0.947,0.90-0.99,29.98783957,31.14335468,29.987219,31.14242
20,,,Giza,cross_source,overture,Food court hyper one,eat_and_drink,fsq,Hyper One,Retail > Food and Beverage Retail > Supermarket,56.6,1.0,0.99-1.01,30.02997279,31.02157957,30.030425529029166,31.021312285909087
21,,,Giza,intra_source,overture,جمعية مسجد السلام,community_services_non_profits,overture,مسجد السلام شارع الهرم,mosque,41.7,0.727,0.72-0.80,30.003878091341,31.186156868935,30.004225,31.186321
22,,,Cairo,cross_source,overture,German University in Cairo | الجامعة الالمانية في القاهرة,college_university,fsq,الجامعة الالمانية بالقاهرة - جى يو سى,Community and Government > Education > College and University,119.9,0.889,0.80-0.90,29.985452900066345,31.44023051528245,29.984386,31.44006
23,,,Cairo,intra_source,fsq,AUC Core C121,Business and Professional Services > Office > Meeting Room,fsq,AUC Core C126,Community and Government > Education > College and University > College Classroom,28.6,0.923,0.90-0.99,30.01986884537386,31.499302154041104,30.020124435424805,31.49933624267578
24,,,Cairo,cross_source,overture,Seven Club,video_game_store,fsq,Seven Club,Arts and Entertainment > Arcade,34.6,1.0,0.99-1.01,29.97607813,31.27902495,29.97580970068403,31.278844980818068
25,,,Alexandria,intra_source,overture,Eastern Al Montazah Hotel,hotel,overture,فلورانس المنتزهFlorence Almontazah,landmark_and_historical_building,12.6,0.727,0.72-0.80,31.278484,30.02314962,31.278579888154525,30.023219292623654
26,,,Qalyubiya,intra_source,overture,Sun Dental clinic,dentist,overture,Dream Dental Clinics,dentist,133.7,0.8,0.80-0.90,30.12243569,31.25095605,30.12363545,31.25100792
27,,,Alexandria,cross_source,overture,Starbucks,coffee_shop,fsq,ستاربكس,Dining and Drinking > Restaurant,0.6,0.923,0.90-0.99,31.17354551,29.93077245,31.17354,29.930771
28,,,Qalyubiya,cross_source,overture,New football cafe,,fsq,Football cafe',,54.2,1.0,0.99-1.01,30.13335465,31.27949226,30.13314796015143,31.27898467435059
29,,,Alexandria,cross_source,overture,Dimos Café,restaurant,fsq,demos,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",15.0,0.75,0.72-0.80,31.12852769,29.78018614,31.128548310822122,29.780339796142986
30,,,Alexandria,intra_source,overture,Boshra auto,,overture,ملابس حريمي  porto fashion,womens_clothing_store,25.8,0.8,0.80-0.90,31.210488,29.9127969,31.2105,29.91253
31,,,Qalyubiya,intra_source,fsq,RE 7~ R Building @ MIU,Community and Government > Education > College and University > College Lab,fsq,NA3 ~ N Building,Community and Government > Education > College and University > College Auditorium,103.9,0.9,0.90-0.99,30.171293258666992,31.4923038482666,30.170494079589844,31.491748809814453
32,,,Alexandria,cross_source,overture,كازيون,grocery_store,fsq,كازيون,Retail > Food and Beverage Retail > Supermarket,30.7,1.0,0.99-1.01,31.2641889,29.9951725,31.264452,29.995267
33,,,Alexandria,cross_source,overture,نادي النصر,community_services_non_profits,fsq,منفذ النصر,Retail > Food and Beverage Retail > Butcher,110.6,0.778,0.72-0.80,31.21055834,29.96244609,31.21096,29.961399
34,,,Giza,cross_source,overture,PetsOffice Arkan,pet_store,fsq,Cima Arkan,Arts and Entertainment > Movie Theater,16.2,0.8,0.80-0.90,30.02052178,31.00340191,30.02048,31.003563
35,,,Qalyubiya,cross_source,overture,Orchidia Pharmaceutical Industries,pharmaceutical_companies,fsq,Orchidia Pharmaceutical Industry,Business and Professional Services > Factory,14.7,0.944,0.90-0.99,30.19614677,31.45189789,30.196184957296328,31.452043119227618
36,,,Giza,intra_source,fsq,NOVA,Community and Government > Residential Building > Apartment or Condo,fsq,NOVA,Dining and Drinking > Bar > Lounge,44.7,1.0,0.99-1.01,30.022591,31.218329,30.022985,31.218416
37,,,Qalyubiya,cross_source,overture,المستشفى الكويتى التخصصى,hospital,fsq,مستشفى الاطفال التخصصى ببنها,Health and Medicine > Medical Center,109.7,0.778,0.72-0.80,30.46600745,31.1871804,30.466988,31.187063
38,,,Cairo,intra_source,overture,Dapoer Kita,eat_and_drink,overture,Indomarket Cairo,convenience_store,133.6,0.8,0.80-0.90,30.04590356,31.37212882,30.04704489,31.37170247
