pair_id,verdict,notes,governorate,pair_type,source_a,name_a,category_a,source_b,name_b,category_b,distance_m,name_sim,dband,lat_a,lon_a,lat_b,lon_b
1,,,Alexandria,cross_source,overture,Fit & Fix Bridgestone,automotive_repair,fsq,Fit & Fix Bridgestone,Business and Professional Services > Automotive Service > Automotive Repair Shop,0.0,1.0,0m,31.22920640271039,29.954438209533688,31.22920640271039,29.954438209533688
2,,,Cairo,cross_source,overture,Camion Egypt,freight_and_cargo_service,fsq,Camion Egypt,"Business and Professional Services > Shipping, Freight, and Material Transportation Service",6.5,1.0,0-10m,30.06728339,31.34923421,30.067338161210227,31.349211037158966
3,,,Cairo,cross_source,overture,"The Nile Ritz-Carlton, Cairo",hotel,fsq,"The Nile Ritz-Carlton, Cairo",Travel and Transportation > Lodging > Resort,19.0,1.0,10-25m,30.045796,31.232163,30.0459653012245,31.232135764875625
4,,,Cairo,cross_source,overture,Dental Boss,dentist,fsq,Dental Boss,Health and Medicine > Dentist,45.1,1.0,25-50m,30.06067406,31.35806886,30.060712,31.357604
5,,,Cairo,cross_source,overture,Gravity Code,active_life,fsq,Gravity Code,Sports and Recreation > Indoor Play Area,0.0,1.0,0m,30.025795766562,31.496162173243,30.02579576656156,31.496162173242844
6,,,Alexandria,cross_source,overture,Motul Oil Alexandria,shopping,fsq,Motul Oil Alexandria,Retail > Automotive Retail > Car Dealership,2.0,1.0,0-10m,31.22949794,29.95493001,31.229481629168674,29.954939782619473
7,,,Alexandria,cross_source,overture,Riviera Cafe,,fsq,Riviera Cafe,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",20.8,1.0,10-25m,31.2133308,29.9187387,31.213429879506958,29.918556339419176
8,,,Cairo,cross_source,overture,Prince Said Halim Pacha Palace   قصر الأمير سعيد حليم باشا,palace,fsq,Prince Said Halim Pacha Palace | قصر الأمير سعيد حليم باشا,Landmarks and Outdoors > Historic and Protected Site,49.2,1.0,25-50m,30.048716415123643,31.237656679394817,30.04900853939959,31.237274408340454
9,,,Cairo,cross_source,overture,NOLA Cupcakes,cupcake_shop,fsq,NOLA Cupcakes,Dining and Drinking > Dessert Shop > Cupcake Shop,0.0,1.0,0m,29.982222863754302,31.31631374359131,29.982222863754302,31.31631374359131
10,,,Cairo,cross_source,overture,Starbucks,internet_cafe,fsq,Starbucks,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",1.9,1.0,0-10m,30.0541801,31.4913242,30.054197,31.49132
11,,,Giza,cross_source,overture,Brunch Restaurant & Café,,fsq,Brunch Restaurant & Cafe,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",14.7,1.0,10-25m,29.971670862711157,30.961187282278757,29.97159,30.961308
12,,,Giza,cross_source,overture,GLC Paints Showroom - Moaaz Ebn Gabal,paint_store,fsq,GLC Paints Showroom - Moaaz Ebn Gabal,Retail > Hardware Store,38.2,1.0,25-50m,29.97803167141053,31.201682647815723,29.9779291,31.2020594
13,,,Cairo,cross_source,overture,Cinnabon,desserts,fsq,Cinnabon,Dining and Drinking > Dessert Shop,0.0,1.0,0m,30.060245418436836,31.3303415086732,30.060245418436836,31.3303415086732
14,,,Cairo,cross_source,overture,Roufy's,american_restaurant,fsq,Roufy's,Dining and Drinking > Restaurant > American Restaurant,8.6,1.0,0-10m,29.9618551,31.27693392,29.96178,31.276955
15,,,Cairo,cross_source,overture,Kazdora Shawarma and Potato,middle_eastern_restaurant,fsq,KAZDORA Shawarma and Potato,Dining and Drinking > Restaurant > Turkish Restaurant,21.9,1.0,10-25m,30.04363883,31.49626501,30.043599,31.496487
16,,,Qalyubiya,cross_source,overture,Arabiata,middle_eastern_restaurant,fsq,Arabiata,Dining and Drinking > Restaurant > Falafel Restaurant,25.9,1.0,25-50m,30.17250085,31.47633918,30.172281323581934,31.476249879838253
17,,,Cairo,cross_source,overture,HSBC,banks,fsq,HSBC,Business and Professional Services > Financial Service > Banking and Finance > Bank,0.0,1.0,0m,30.072360313488733,31.227739555820104,30.072360313488733,31.227739555820104
18,,,Cairo,cross_source,overture,MokoNuts,bakery,fsq,MokoNuts,Dining and Drinking > Dessert Shop,6.0,1.0,0-10m,30.08467982,31.32790301,30.084726,31.32787
19,,,Cairo,cross_source,overture,ALDesign studio,architectural_designer,fsq,ALDesign studio,Business and Professional Services > Design Studio,17.5,1.0,10-25m,29.96567273,31.32748041,29.96582846743285,31.327503919601437
20,,,Cairo,cross_source,overture,منطقة مصر الجديدة الطبية,hospital,fsq,منطقة مصر الجديدة الطبية,Health and Medicine > Medical Center,37.1,1.0,25-50m,30.088373733392242,31.309516133342324,30.088077,31.309692
21,,,Cairo,cross_source,overture,The Nest Concept Store,gift_shop,fsq,The Nest Concept Store,Retail > Gift Store,0.0,1.0,0m,30.05763,31.222928,30.05763,31.222928
22,,,Cairo,cross_source,overture,Oblivious,restaurant,fsq,Oblivious,Dining and Drinking > Restaurant > Mediterranean Restaurant,4.8,1.0,0-10m,30.02921014,31.48149905,30.029217,31.48145
23,,,Cairo,cross_source,overture,Fifth Street Coffee,coffee_shop,fsq,Fifth Street Coffee,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",17.4,1.0,10-25m,30.0816646,31.363837,30.081743,31.363993
24,,,Cairo,cross_source,overture,Denta-line Dental Clinic,health_and_medical,fsq,Denta-Line Dental Clinic,Health and Medicine > Dentist,37.1,1.0,25-50m,30.058592107623,31.491510272026,30.058777,31.49183
25,,,Cairo,cross_source,overture,Mothercare,baby_gear_and_furniture,fsq,Mothercare,Retail > Baby Store,0.0,1.0,0m,30.026778,31.408222,30.026778,31.408222
26,,,Qalyubiya,cross_source,overture,مركز شرطة طوخ,police_department,fsq,مركز شرطة طوخ,Community and Government > Government Building > Law Enforcement and Public Safety > Police Station,3.3,1.0,0-10m,30.35408,31.1971454,30.354108765757882,31.197151792441833
27,,,Giza,cross_source,overture,Nutri - Hub,coffee_shop,fsq,Nutri-Hub,Dining and Drinking > Restaurant > Sri Lankan Restaurant,21.1,1.0,10-25m,29.987567719199,30.992387211867,29.987439,30.992548
28,,,Alexandria,cross_source,overture,Sweet Cakes,restaurant,fsq,Sweet Cakes,"Dining and Drinking > Cafe, Coffee, and Tea House > Café",29.6,1.0,25-50m,31.19612945,29.90038461,31.196392,29.900339
29,,,Giza,cross_source,overture,Layaly El Khedewy Ramadan Tent,buffet_restaurant,fsq,Layaly El Khedewy Ramadan Tent,Dining and Drinking > Restaurant > Buffet,0.0,1.0,0m,30.03909,31.219982,30.03909,31.219982
30,,,Alexandria,cross_source,overture,مستشفى النزهة التخصصى,hospital,fsq,مستشفى النزهة التخصصى,Health and Medicine > Medical Center,1.0,1.0,0-10m,31.19488117,29.93362962,31.194888,29.933623
31,,,Cairo,cross_source,overture,The BookSpot,bookstore,fsq,The Bookspot,Retail > Bookstore,17.8,1.0,10-25m,29.95683673,31.26064988,29.956942613992435,31.26078855725138
32,,,Cairo,cross_source,overture,Ahli United Bank,bank_credit_union,fsq,Ahli United Bank,Business and Professional Services > Financial Service > Banking and Finance > Bank,43.5,1.0,25-50m,30.01678546,31.42723825,30.01663857104048,31.42682075500488
33,,,Giza,cross_source,overture,سرايات للاثاث,furniture_store,fsq,سرايات للاثاث,Retail > Furniture and Home Store,0.0,1.0,0m,30.0621,31.1914,30.0621,31.1914
34,,,Qalyubiya,cross_source,overture,Vodafone,telecommunications_company,fsq,Vodafone,Retail > Computers and Electronics Retail > Mobile Phone Store,3.2,1.0,0-10m,30.17997968,31.34945269,30.180004,31.349471
